,run_104 CV,run_104 MRE,run_108 CV,run_108 MRE,run_109 CV,run_109 MRE,run_110 CV,run_110 MRE,run_111 CV,run_111 MRE,run_112 CV,run_112 MRE,run_113 CV,run_113 MRE,run_121 CV,run_121 MRE
mc_replicates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
c0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
loss,cauchy,cauchy,huber,huber,soft_l1,soft_l1,robust,robust,max_cauchy,max_cauchy,max_huber,max_huber,max_soft_l1,max_soft_l1,max_robust,max_robust
error%,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
n_samples,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
n_timepoints,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
kcincaf,39.19,-2.85,35.8,2.38,35.15,-2.09,36.75,7.18,29.79,0.89,30.01,1.04,32.49,-1.35,25.56,1.48
kcafpar,25.48,2.6,23.48,2.38,23.85,2.41,16.7,2.64,18.2,0.28,17.76,1.31,16.81,0.18,19.08,4.07
kcafbro,24.52,3.53,23.1,4.15,22.71,2.91,23.93,9.86,15.94,-0.45,16.12,0.21,15.61,-0.53,19.08,4.19
kcafphy,24.81,2.32,22.62,1.68,23.13,0.44,24.18,11.55,16.89,-0.54,15.76,1.52,15.65,0.15,18.44,2.24
kcafdeg,81.55,71.73,70.77,53.8,78.82,67.36,55.19,24.54,48.68,-32.01,78.73,-83.26,78.03,-82.8,41.22,-13.41
kpardeg,35.6,30.6,33.33,23.21,34.78,28.52,22.88,12.39,24.28,-10.66,32.79,-21.63,32.75,-22.86,22.63,0.92
kbrodeg,42.88,34.44,41.69,30.39,41.75,33.24,40.96,26.99,29.37,-13.3,39.11,-29.94,38.58,-29.09,28.69,3.32
kphydeg,42.61,33.9,41.32,27.8,40.9,32.07,42.11,30.34,29.77,-13.37,37.78,-27.81,38.32,-27.7,26.86,2.84
par0,25.99,-1.57,24.43,-1.18,24.18,-2.09,21.63,-0.41,17.44,-0.35,18.22,-1.78,18.26,-4.22,17.64,-0.73
bro0,25.16,-1.8,24.96,-1.36,23.46,-2.3,35.14,-6.47,16.68,-1.71,18.02,-2.16,17.35,-2.52,18.17,0.48
phy0,25.52,-0.82,24.48,0.09,24.11,-1.12,35.92,-9.76,17.15,-0.23,17.16,-3.43,16.86,-3.17,18.11,-0.13
sv,45.93,16.42,41.79,12.77,43.97,15.58,33.29,5.96,24.09,-7.15,26.93,-14.35,23.64,-14.6,19.66,-2.57
caf conc.,22.55,-14.23,20.49,-10.88,21.4,-13.17,16.08,-5.22,17.8,7.01,28.68,16.48,28.5,16.39,12.88,1.51
par conc.,23.06,-14.56,21.06,-11.48,22.05,-13.85,16.98,-5.8,18.22,7.2,29.58,16.62,29.66,16.55,14.49,2.91
bro conc.,22.85,-14.77,21.18,-11.85,22.1,-14.08,19.46,-6.54,18.31,6.85,29.46,16.54,28.94,16.21,14.48,3.2
phy conc.,22.75,-14.35,21.1,-11.41,22.23,-14.3,19.77,-6.68,18.33,6.95,29.48,16.43,29.12,16.27,14.61,2.89
total_avg,33.15,16.28,30.72,12.93,31.54,15.35,28.81,10.77,22.56,6.81,29.1,15.91,28.79,15.91,20.72,2.93
