,run_121 CV,run_121 MRE,run_125 CV,run_125 MRE,run_126 CV,run_126 MRE,run_127 CV,run_127 MRE,run_128 CV,run_128 MRE,run_129 CV,run_129 MRE,run_130 CV,run_130 MRE
mc_replicates,100,100,100,100,100,100,100,100,100,100,100,100,100,100
c0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
loss,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust,max_robust
error%,10,10,10,10,10,10,10,10,10,10,10,10,10,10
n_samples,300,300,300,300,300,300,300,300,300,300,300,300,300,300
n_timepoints,20,20,19,19,17,17,15,15,13,13,11,11,15,15
kcincaf,25.56,1.48,27.23,7.67,28.47,8.23,27.0,8.06,30.2,14.19,31.45,14.87,27.83,6.0
kcafpar,19.08,4.07,21.87,-0.15,23.35,-1.66,24.41,-3.92,25.59,-4.17,27.47,-9.14,18.07,-1.38
kcafbro,19.08,4.19,22.28,2.14,24.45,1.23,23.76,4.07,25.82,-2.93,25.64,-2.38,17.88,1.3
kcafphy,18.44,2.24,22.08,2.88,23.72,0.85,24.4,3.24,25.86,-0.49,25.45,-5.84,18.15,-0.06
kcafdeg,41.22,-13.41,44.62,-4.35,47.88,-0.31,52.09,-0.82,69.44,8.34,85.06,27.27,36.21,-9.45
kpardeg,22.63,0.92,29.64,1.46,35.86,0.46,41.07,-3.28,45.62,-3.17,51.49,-10.17,16.55,-0.85
kbrodeg,28.69,3.32,37.39,4.09,43.01,-3.13,48.93,9.43,60.3,-3.87,59.36,7.12,19.57,-0.76
kphydeg,26.86,2.84,37.69,5.17,44.38,1.53,50.7,9.69,61.86,7.91,60.0,-5.73,19.53,-0.24
par0,17.64,-0.73,19.48,2.98,19.69,6.57,18.25,6.41,19.07,8.03,19.55,10.15,18.5,5.1
bro0,18.17,0.48,18.4,2.51,19.26,2.93,17.24,4.55,19.52,7.68,19.2,10.9,18.23,3.88
phy0,18.11,-0.13,18.91,4.71,18.55,4.24,17.59,5.31,19.01,6.95,19.45,10.24,18.15,4.07
sv,19.66,-2.57,26.06,-1.46,16.4,-2.46,18.83,-2.25,20.0,-2.41,18.55,-2.65,21.56,-3.36
caf conc.,12.88,1.51,11.61,0.08,11.23,0.96,10.41,0.76,10.84,1.14,11.91,0.65,16.8,1.5
par conc.,14.49,2.91,13.67,1.42,13.41,2.53,12.62,2.48,13.1,2.29,13.64,2.52,18.67,3.31
bro conc.,14.48,3.2,13.52,1.47,13.63,2.4,12.6,2.58,13.33,2.84,13.85,3.47,18.75,3.45
phy conc.,14.61,2.89,13.34,2.16,13.49,3.05,12.61,2.51,13.14,2.47,13.99,2.99,18.62,3.27
total_avg,20.72,2.93,23.61,2.79,24.8,2.66,25.78,4.34,29.54,4.93,31.0,7.88,20.19,3.0
